vendor,payload,run,p50,p99,p999,max
fastdds,4096,3,6321.71,12689.4,12766.3,12943.4
fastdds,4096,4,6341.62,12693.7,13175.4,13526.7
fastdds,4096,5,6315.92,12662.5,12765.5,13304.3
fastdds,4096,6,6321.92,12687.7,12931.8,13070.5
fastdds,4096,7,6411.25,12693.8,12860.1,14611.2
fastdds,4096,8,6327.75,12684.5,12870.6,13214.1
fastdds,4096,9,6330.04,12705.3,13172.4,13626.8
fastdds,4096,10,6321.88,12679.6,12942.9,13010.5
fastdds,4096,11,6384.38,12693,13369.2,14768.4
fastdds,4096,12,6333.04,12683.8,12915.8,13293.9
fastdds,4096,13,6363.21,12710.3,12893.5,14137.3
fastdds,4096,14,6327.62,12705.1,13054.7,14656.2
fastdds,4096,15,6663.21,950444,1.25246,1.31242
fastdds,8192,1,6436.58,12913.2,16423.4,33232.4
fastdds,8192,2,6322.88,12690.9,12934.7,14063.7
fastdds,8192,3,6380.21,12698.4,12878,13448.5
fastdds,8192,4,6322.67,12672.8,12923.1,14503.8
fastdds,8192,5,6326.67,12681.4,12792.5,14471.2
fastdds,8192,6,6331.62,12690.8,13208.7,13798.8
fastdds,8192,7,6317.25,12674.8,12720.4,12815.9
fastdds,8192,8,6367.46,12682.7,12896.9,15041.8
fastdds,8192,9,6356.38,12686.7,12784.4,14812
fastdds,8192,10,6337.62,12692.5,12769.7,13716.6
fastdds,8192,11,6338.46,12689.5,12842.4,13706.9
fastdds,8192,12,6315.71,12659.7,12732.2,12924.8
fastdds,8192,13,6349.04,12695.7,13019.6,13525.4
fastdds,8192,14,6354.88,12686.8,12837.8,13352.2
fastdds,8192,15,6333.12,12682.1,12804.7,12924.9
rti,0,1,0,,,
rti,0,2,0,,,
rti,0,3,0,,,
rti,0,4,0,,,
rti,0,5,0,,,
rti,0,6,0,,,
rti,0,7,0,,,
rti,0,8,0,,,
rti,0,9,0,,,
rti,0,10,0,,,
rti,0,11,0,,,
rti,0,12,0,,,
rti,0,13,0,,,
rti,0,14,0,,,
rti,0,15,0,,,
rti,4096,1,0,,,
rti,4096,2,0,,,
rti,4096,3,0,,,
rti,4096,4,0,,,
rti,4096,5,0,,,
rti,4096,6,0,,,
rti,4096,7,0,,,
rti,4096,8,0,,,
rti,4096,9,0,,,
rti,4096,10,0,,,
rti,4096,11,0,,,
rti,4096,12,0,,,
rti,4096,13,0,,,
rti,4096,14,0,,,
rti,4096,15,0,,,
rti,8192,1,0,,,
rti,8192,2,0,,,
rti,8192,3,0,,,
rti,8192,4,0,,,
rti,8192,5,0,,,
rti,8192,6,0,,,
rti,8192,7,0,,,
rti,8192,8,0,,,
rti,8192,9,0,,,
rti,8192,10,0,,,
rti,8192,11,0,,,
rti,8192,12,0,,,
rti,8192,13,0,,,
rti,8192,14,0,,,
rti,8192,15,0,,,
