ping,pong,payload,run,p50,p99,p999,max,status
rti,zerodds,1638,2,0,,,,timeout
rti,zerodds,1638,3,0,,,,timeout
rti,zerodds,1638,3,0,,,,timeout
rti,cyclone,1638,1,45.115,101.342,230.456,1019.8,ok
rti,cyclone,1638,2,39.244,86.584,176.624,203.615,ok
rti,cyclone,1638,3,66.516,26414,36041.4,38268,ok
rti,fastdds,1638,1,8559.31,1.20313,1.20313,1.20313,ok
rti,fastdds,1638,2,67313.1,1.20313,1.20313,1.20313,ok
rti,fastdds,1638,3,1.20313,1.20313,1.20313,1.20313,ok
rti,rti,1638,1,1.20313,1.20313,1.20313,1.20313,ok
rti,rti,1638,2,30.618,1.20313,1.20313,1.20313,ok
rti,rti,1638,3,29.596,84.179,184.649,1133.93,ok
zerodds,zerodds,4096,1,0,,,,timeout
zerodds,zerodds,4096,1,0,,,,timeout
zerodds,zerodds,4096,2,0,,,,timeout
zerodds,zerodds,4096,2,0,,,,timeout
zerodds,zerodds,4096,3,0,,,,timeout
zerodds,zerodds,4096,3,43.623,61.427,89.299,133.683,ok
zerodds,cyclone,4096,1,76.334,182.997,403.193,1.20313,ok
zerodds,cyclone,4096,2,79.961,1055.29,1.20313,1.20313,ok
zerodds,cyclone,4096,3,52.3,98.847,159.282,181.013,ok
zerodds,fastdds,4096,1,61.376,120.227,247.579,849.248,ok
zerodds,fastdds,4096,2,64.663,126.55,203.575,1661.35,ok
zerodds,fastdds,4096,3,66.536,125.167,196.873,293.055,ok
zerodds,rti,4096,1,73.068,133.633,190.481,207.914,ok
zerodds,rti,4096,2,93.958,157.959,347.347,556.784,ok
zerodds,rti,4096,3,72.387,95.761,133.082,337.088,ok
cyclone,zerodds,4096,1,60.184,101.042,184.619,296.482,ok
cyclone,zerodds,4096,2,46.749,73.74,112.212,151.377,ok
cyclone,zerodds,4096,3,0,,,,timeout
cyclone,zerodds,4096,3,0,,,,timeout
cyclone,cyclone,4096,1,62.929,117.172,172.617,315.067,ok
cyclone,cyclone,4096,2,64.202,118.594,236.107,417.591,ok
cyclone,cyclone,4096,3,37.211,79.601,96.783,128.763,ok
cyclone,fastdds,4096,1,69.512,131.839,371.423,497.973,ok
cyclone,fastdds,4096,2,11425.6,1.20313,1.20313,1.20313,ok
cyclone,fastdds,4096,3,65.524,113.736,187.344,582.443,ok
cyclone,rti,4096,1,124.405,212.272,246.396,696.889,ok
cyclone,rti,4096,2,114.908,213.945,263.399,274.429,ok
cyclone,rti,4096,3,117.051,209.207,327.971,545.683,ok
fastdds,zerodds,4096,1,8904.9,1.20313,1.20313,1.20313,ok
fastdds,zerodds,4096,2,1.20313,1.20313,1.20313,1.20313,ok
fastdds,zerodds,4096,3,1.20313,1.20313,1.20313,1.20313,ok
fastdds,cyclone,4096,1,47.34,94.399,240.054,1579.62,ok
fastdds,cyclone,4096,2,47.159,92.325,206.3,558.597,ok
fastdds,cyclone,4096,3,100.44,126862,132212,132423,ok
fastdds,fastdds,4096,1,79.52,152.97,524.333,879.936,ok
fastdds,fastdds,4096,2,729.07,1310.81,1416.58,803.652,ok
fastdds,fastdds,4096,3,805.185,1263,1422.36,767.794,ok
fastdds,rti,4096,1,226.078,522.239,933.247,398.725,ok
fastdds,rti,4096,2,0,,,,timeout
fastdds,rti,4096,2,256.986,765.81,1111.57,357.687,ok
fastdds,rti,4096,3,0,,,,timeout
fastdds,rti,4096,3,52.82,107.534,268.449,619.613,ok
rti,zerodds,4096,1,0,,,,timeout
rti,zerodds,4096,1,0,,,,timeout
rti,zerodds,4096,2,0,,,,timeout
rti,zerodds,4096,2,66.587,106.632,176.123,219.736,ok
rti,zerodds,4096,3,55.174,99.639,109.458,122.142,ok
rti,cyclone,4096,1,90.08,1.20313,1.20313,1.20313,ok
rti,cyclone,4096,2,52.75,98.958,271.654,295.57,ok
rti,cyclone,4096,3,98.838,32104.1,53096.7,53618.9,ok
rti,fastdds,4096,1,78.719,148.06,326.869,685.879,ok
rti,fastdds,4096,2,75.703,214.215,163158,163423,ok
rti,fastdds,4096,3,78.218,328.632,153881,154430,ok
rti,rti,4096,1,32.201,1.20313,1.20313,1.20313,ok
rti,rti,4096,2,33.664,1.20313,1.20313,1.20313,ok
rti,rti,4096,3,2773.99,1.20313,1.20313,1.20313,ok
zerodds,zerodds,8192,1,0,,,,timeout
zerodds,zerodds,8192,1,0,,,,timeout
zerodds,zerodds,8192,2,0,,,,timeout
zerodds,zerodds,8192,2,0,,,,timeout
zerodds,zerodds,8192,3,0,,,,timeout
zerodds,zerodds,8192,3,0,,,,timeout
zerodds,cyclone,8192,1,1489.95,1.20313,1.20313,1.20313,ok
zerodds,cyclone,8192,2,133.342,506.38,1.20313,1.20313,ok
zerodds,cyclone,8192,3,133.883,1.20313,1.20313,1.20313,ok
zerodds,fastdds,8192,1,180.181,1.20313,1.20313,1.20313,ok
zerodds,fastdds,8192,2,159.652,254.673,458.308,773.175,ok
zerodds,fastdds,8192,3,1200.55,1.20313,1.20313,1.20313,ok
zerodds,rti,8192,1,89.39,194.027,295.399,387.935,ok
zerodds,rti,8192,2,216.54,1456.74,1720.64,1.20313,ok
zerodds,rti,8192,3,532.929,931.685,1.20313,1.20313,ok
cyclone,zerodds,8192,1,0,,,,timeout
cyclone,zerodds,8192,1,0,,,,timeout
cyclone,zerodds,8192,2,1.20313,1.20313,1.20313,1.20313,ok
cyclone,zerodds,8192,3,1.20313,1.20313,1.20313,1.20313,ok
cyclone,cyclone,8192,1,53.11,80.573,111.341,154.743,ok
cyclone,cyclone,8192,2,0,,,,timeout
cyclone,cyclone,8192,2,91.694,130.017,245.745,307.903,ok
cyclone,cyclone,8192,3,81.113,131.088,262.928,502.763,ok
cyclone,fastdds,8192,1,0,,,,timeout
cyclone,fastdds,8192,1,0,,,,timeout
cyclone,fastdds,8192,2,0,,,,timeout
cyclone,fastdds,8192,2,0,,,,timeout
