ping,pong,payload,run,p50,p99,p999,max,status
rti,cyclone,1638,3,36.041,93.625,111.25,116.917,ok
rti,fastdds,1638,1,362.167,437.625,593.083,651.209,ok
rti,fastdds,1638,2,46445.5,71088.5,75226.2,75908.7,ok
rti,fastdds,1638,3,13671.3,142335,143072,143245,ok
rti,rti,1638,1,42.25,112.708,130.416,146.416,ok
rti,rti,1638,2,42.042,114.5,137.75,151.834,ok
rti,rti,1638,3,47.667,111.75,166.5,170.25,ok
zerodds,zerodds,4096,1,0,,,,timeout
zerodds,zerodds,4096,1,0,,,,timeout
zerodds,zerodds,4096,2,0,,,,timeout
zerodds,zerodds,4096,2,0,,,,timeout
zerodds,zerodds,4096,3,0,,,,timeout
zerodds,zerodds,4096,3,0,,,,timeout
zerodds,cyclone,4096,1,59.083,125.5,149.625,178.25,ok
zerodds,cyclone,4096,2,88.5,2252.17,2309.54,2314.92,ok
zerodds,cyclone,4096,3,83.583,891.541,926.375,991.083,ok
zerodds,fastdds,4096,1,0,,,,timeout
zerodds,fastdds,4096,1,491.667,622.709,734.417,979.167,ok
zerodds,fastdds,4096,2,259.166,314.25,416.667,544.959,ok
zerodds,fastdds,4096,3,0,,,,timeout
zerodds,fastdds,4096,3,0,,,,ghost
zerodds,rti,4096,1,58.875,142.375,162.417,193.792,ok
zerodds,rti,4096,2,68.958,548.5,601.292,653.166,ok
zerodds,rti,4096,3,58.208,138.708,159.416,221.25,ok
cyclone,zerodds,4096,1,0,,,,timeout
cyclone,zerodds,4096,1,126.375,41066.8,42428,42781.8,ok
cyclone,zerodds,4096,2,0,,,,timeout
cyclone,zerodds,4096,2,0,,,,timeout
cyclone,zerodds,4096,3,0,,,,timeout
cyclone,zerodds,4096,3,0,,,,timeout
cyclone,cyclone,4096,1,0,,,,timeout
cyclone,cyclone,4096,1,0,,,,timeout
cyclone,cyclone,4096,2,35.667,105.75,129.541,168.542,ok
cyclone,cyclone,4096,3,35.791,111.916,134.334,137.292,ok
cyclone,fastdds,4096,1,5257.46,6116.62,79186.9,99645.4,ok
cyclone,fastdds,4096,2,5555.08,71966.1,102343,158815,ok
cyclone,fastdds,4096,3,14733.7,81127.7,83192.2,83642.2,ok
cyclone,rti,4096,1,53.5,125.625,148.458,188.416,ok
cyclone,rti,4096,2,52.792,120.583,159,192.625,ok
cyclone,rti,4096,3,0,,,,timeout
cyclone,rti,4096,3,34.75,106.375,118.25,158.209,ok
fastdds,zerodds,4096,1,15099.4,86920.2,92039,92114.8,ok
fastdds,zerodds,4096,2,4170.38,65277.5,296963,351043,ok
fastdds,zerodds,4096,3,0,,,,timeout
fastdds,zerodds,4096,3,0,,,,timeout
fastdds,cyclone,4096,1,2358.12,8343.08,9146.12,2316.42,ok
fastdds,cyclone,4096,2,4085.33,9296.96,9295.38,4814.96,ok
fastdds,cyclone,4096,3,2764.08,8858.04,12061.1,2815.71,ok
fastdds,fastdds,4096,1,6317.12,12614.2,12685.3,15174.9,ok
fastdds,fastdds,4096,2,6317.46,12628.3,12687.2,12750.4,ok
fastdds,fastdds,4096,3,6315.96,12611.3,12713.5,12907.1,ok
fastdds,rti,4096,1,109.542,161.625,403,614.542,ok
fastdds,rti,4096,2,109.208,160.292,464.583,534.5,ok
fastdds,rti,4096,3,109.708,158.833,412.916,633.625,ok
rti,zerodds,4096,1,7142.62,47036.6,127241,187567,ok
rti,zerodds,4096,2,0,,,,timeout
rti,zerodds,4096,2,54.333,118.167,124.084,142.292,ok
rti,zerodds,4096,3,0,,,,timeout
rti,zerodds,4096,3,54.541,118.709,137.75,148.584,ok
rti,cyclone,4096,1,35.334,104.541,140.584,187.584,ok
rti,cyclone,4096,2,33.833,101.041,113.792,157.041,ok
rti,cyclone,4096,3,34.083,89,109.958,190.417,ok
rti,fastdds,4096,1,20368.2,343700,350075,350762,ok
rti,fastdds,4096,2,0,,,,ghost
rti,fastdds,4096,2,0,,,,ghost
rti,fastdds,4096,3,9273.88,110623,111332,111452,ok
rti,rti,4096,1,43,111.958,123.208,125.875,ok
rti,rti,4096,2,58.708,114.667,138.167,143.125,ok
rti,rti,4096,3,49,107.334,236.25,274.25,ok
zerodds,zerodds,8192,1,5975.67,65432.7,160848,160912,ok
zerodds,zerodds,8192,2,0,,,,timeout
zerodds,zerodds,8192,2,0,,,,timeout
zerodds,zerodds,8192,3,0,,,,timeout
zerodds,zerodds,8192,3,0,,,,timeout
zerodds,cyclone,8192,1,1631.42,3060.25,3325.75,3364.12,ok
zerodds,cyclone,8192,2,75.959,139.625,162.584,189.791,ok
zerodds,cyclone,8192,3,77.083,151.125,190.042,242.375,ok
zerodds,fastdds,8192,1,307.708,608.792,706.458,1322.79,ok
zerodds,fastdds,8192,2,3824.58,63193.4,66381.8,66704,ok
zerodds,fastdds,8192,3,1358.21,30950.4,41379.8,41567,ok
zerodds,rti,8192,1,99.25,142.625,156.916,162.292,ok
zerodds,rti,8192,2,157.416,1500.12,1555.88,1607.79,ok
zerodds,rti,8192,3,75.833,141.25,170.792,180.916,ok
cyclone,zerodds,8192,1,71.708,141.125,186.166,190,ok
cyclone,zerodds,8192,2,71.291,129.916,156.75,173.542,ok
cyclone,zerodds,8192,3,0,,,,ghost
cyclone,zerodds,8192,3,5945.04,133248,135392,135788,ok
cyclone,cyclone,8192,1,37.25,112.791,139.625,157.75,ok
cyclone,cyclone,8192,2,36.208,101.916,111.209,137.125,ok
cyclone,cyclone,8192,3,36.708,109.083,119,129.042,ok
cyclone,fastdds,8192,1,4594.71,139549,165284,165674,ok
cyclone,fastdds,8192,2,198.875,255.292,349.958,429.75,ok
cyclone,fastdds,8192,3,473.084,564.541,815.625,2198.46,ok
cyclone,rti,8192,1,35.583,102.292,164.833,201.584,ok
cyclone,rti,8192,2,35.708,92.625,115.334,132.417,ok
cyclone,rti,8192,3,36.666,106.875,139.666,161,ok
fastdds,zerodds,8192,1,0,,,,timeout
fastdds,zerodds,8192,1,0,,,,timeout
fastdds,zerodds,8192,2,0,,,,ghost
fastdds,zerodds,8192,2,5625.83,103351,103848,128787,ok
fastdds,zerodds,8192,3,209.333,536.709,678.167,710.708,ok
fastdds,cyclone,8192,1,5607.58,33836.2,7024.96,5538.71,ok
fastdds,cyclone,8192,2,2825.5,4696.42,36076,36440.7,ok
fastdds,cyclone,8192,3,766.542,2840.62,3151.62,3096.96,ok
fastdds,fastdds,8192,1,7984.46,35318,36298.3,36496.2,ok
fastdds,fastdds,8192,2,6316.29,12616.6,12683,12696.3,ok
fastdds,fastdds,8192,3,6314.62,12623.1,12690.4,12847.1,ok
fastdds,rti,8192,1,136.792,160.875,614.375,722.417,ok
fastdds,rti,8192,2,136.125,156.208,626.708,1380.96,ok
fastdds,rti,8192,3,136.5,162.666,527.125,684.792,ok
rti,zerodds,8192,1,0,,,,timeout
rti,zerodds,8192,1,0,,,,timeout
rti,zerodds,8192,2,0,,,,timeout
rti,zerodds,8192,2,0,,,,timeout
rti,zerodds,8192,3,0,,,,timeout
