ping,pong,payload,run,domain,p50,p99,p999,max,status
fastdds,fastdds,1638,3,181,48.252,113.264,160.433,198.015,ok
fastdds,rti,1638,1,182,46.428,76.355,161.736,199.277,ok
fastdds,rti,1638,2,183,48.021,103.376,163.76,364.2,ok
fastdds,rti,1638,3,184,41.869,90.972,176.203,410.848,ok
rti,zerodds,1638,1,185,57.589,85.131,137.19,175.773,ok
rti,zerodds,1638,2,186,56.978,70.524,102.504,177.226,ok
rti,zerodds,1638,3,187,38.953,82.827,187.635,225.747,ok
rti,cyclone,1638,1,188,41.909,81.364,183.708,196.011,ok
rti,cyclone,1638,2,189,46.468,89.619,151.587,208.505,ok
rti,cyclone,1638,3,190,41.779,78.428,141.368,234.283,ok
rti,fastdds,1638,1,191,54.343,225.477,962.382,2216.07,ok
rti,fastdds,1638,2,192,49.324,95.711,154.001,385.179,ok
rti,fastdds,1638,3,193,47.931,82.917,108.095,164.792,ok
rti,rti,1638,1,194,31.099,77.687,145.025,188.678,ok
rti,rti,1638,2,195,28.985,71.275,529.313,704.784,ok
rti,rti,1638,3,196,31.79,75.824,165.082,184.67,ok
zerodds,zerodds,4096,1,197,36.138,70.734,124.606,213.965,ok
zerodds,zerodds,4096,2,198,34.004,58.5,134.395,163.539,ok
zerodds,zerodds,4096,3,199,33.483,57.408,128.694,149.332,ok
zerodds,cyclone,4096,1,100,53.502,141.798,206.802,230.456,ok
zerodds,cyclone,4096,2,101,63.881,95.812,189.429,205.499,ok
zerodds,cyclone,4096,3,102,50.595,96.122,188.046,1104.34,ok
zerodds,fastdds,4096,1,103,63.029,112.203,158.57,274.931,ok
zerodds,fastdds,4096,2,104,77.286,140.506,382.764,996.126,ok
zerodds,fastdds,4096,3,105,65.804,129.596,337.098,840.03,ok
zerodds,rti,4096,1,106,64.031,133.623,246.357,299.397,ok
zerodds,rti,4096,2,107,61.166,100.791,203.485,270.593,ok
zerodds,rti,4096,3,108,60.134,126.56,257.928,334.212,ok
cyclone,zerodds,4096,1,109,46.117,92.906,122.872,168.078,ok
cyclone,zerodds,4096,2,110,47.761,90.902,148.321,183.678,ok
cyclone,zerodds,4096,3,111,49.484,117.212,198.616,665.57,ok
cyclone,cyclone,4096,1,112,40.937,78.98,146.297,289.869,ok
cyclone,cyclone,4096,2,113,50.395,79.541,119.647,198.717,ok
cyclone,cyclone,4096,3,114,38.032,73.68,96.252,98.717,ok
cyclone,fastdds,4096,1,115,46.888,93.066,189.339,1033.92,ok
cyclone,fastdds,4096,2,116,49.874,93.988,425.385,582.463,ok
cyclone,fastdds,4096,3,117,50.396,83.728,112.944,311.76,ok
cyclone,rti,4096,1,118,119.426,222.341,324.976,352.858,ok
cyclone,rti,4096,2,119,119.907,220.127,354.551,363.509,ok
cyclone,rti,4096,3,120,123.164,225.327,633.399,3192.2,ok
fastdds,zerodds,4096,1,121,58.491,95.561,170.322,796.328,ok
fastdds,zerodds,4096,2,122,57.71,105.389,200.47,900.756,ok
fastdds,zerodds,4096,3,123,51.768,87.415,127.752,565.16,ok
fastdds,cyclone,4096,1,124,48.081,93.547,198.947,263.749,ok
fastdds,cyclone,4096,2,125,44.694,87.205,191.262,997.399,ok
fastdds,cyclone,4096,3,126,45.125,84.48,143.983,544.601,ok
fastdds,fastdds,4096,1,127,45.947,78.879,105.22,182.416,ok
